symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
BTC-USDT,LONG,S1,پرومتئوس (Prometheus),80822.00000000,77589.12000000,0.00000000,2026-09-04 07:12:36,CLOSED,TRAIL_STOP,2026-09-04 04:17:20,81040.25000000,0.200000,0.070038,10.00,0.270038,titan_signal
BTC-USDT,LONG,S3,کرونوس (Cronus),80822.00000000,77589.12000000,0.00000000,2026-09-04 07:12:37,CLOSED,TRAIL_STOP,2026-09-04 04:17:20,81040.25000000,0.200000,0.070038,10.00,0.270038,titan_signal
BTC-USDT,LONG,B1,هایپریون (Hyperion),80822.00000000,77589.12000000,0.00000000,2026-09-04 07:12:39,CLOSED,TRAIL_STOP,2026-09-04 04:17:21,81040.25000000,0.200000,0.070038,10.00,0.270038,titan_signal
ETH-USDT,LONG,S1,پرومتئوس (Prometheus),2505.83000000,2405.59680000,0.00000000,2026-09-04 07:12:40,CLOSED,TRAIL_STOP,2026-09-04 04:43:03,2521.93100000,0.200000,0.442542,10.00,0.642542,titan_signal
ETH-USDT,LONG,S3,کرونوس (Cronus),2505.83000000,2405.59680000,0.00000000,2026-09-04 07:12:42,CLOSED,TRAIL_STOP,2026-09-04 04:43:04,2521.93100000,0.200000,0.442542,10.00,0.642542,titan_signal
ETH-USDT,LONG,B1,هایپریون (Hyperion),2505.83000000,2405.59680000,0.00000000,2026-09-04 07:12:44,CLOSED,TRAIL_STOP,2026-09-04 04:43:04,2521.93100000,0.200000,0.442542,10.00,0.642542,titan_signal
BNB-USDT,LONG,S1,پرومتئوس (Prometheus),724.28300000,695.31168000,0.00000000,2026-09-04 07:12:45,CLOSED,TRAIL_STOP,2026-09-04 04:43:05,728.92790000,0.200000,0.441310,10.00,0.641310,titan_signal
BNB-USDT,LONG,S3,کرونوس (Cronus),724.28300000,695.31168000,0.00000000,2026-09-04 07:12:47,CLOSED,TRAIL_STOP,2026-09-04 04:43:05,728.92790000,0.200000,0.441310,10.00,0.641310,titan_signal
BNB-USDT,LONG,B1,هایپریون (Hyperion),724.28300000,695.31168000,0.00000000,2026-09-04 07:12:48,CLOSED,TRAIL_STOP,2026-09-04 04:43:06,728.92790000,0.200000,0.441310,10.00,0.641310,titan_signal
SOL-USDT,LONG,S1,پرومتئوس (Prometheus),103.83000000,99.67680000,0.00000000,2026-09-04 07:12:50,CLOSED,TRAIL_STOP,2026-09-04 04:43:06,104.25300000,0.200000,0.207397,10.00,0.407397,titan_signal
SOL-USDT,LONG,S3,کرونوس (Cronus),103.83000000,99.67680000,0.00000000,2026-09-04 07:12:51,CLOSED,TRAIL_STOP,2026-09-04 04:43:06,104.25300000,0.200000,0.207397,10.00,0.407397,titan_signal
SOL-USDT,LONG,B1,هایپریون (Hyperion),103.83000000,99.67680000,0.00000000,2026-09-04 07:12:53,CLOSED,TRAIL_STOP,2026-09-04 04:43:07,104.25300000,0.200000,0.207397,10.00,0.407397,titan_signal
XRP-USDT,LONG,S1,پرومتئوس (Prometheus),1.44769000,1.38978240,0.00000000,2026-09-04 07:12:55,CLOSED,TRAIL_STOP,2026-09-04 04:17:24,1.45210900,0.200000,0.105245,10.00,0.305245,titan_signal
XRP-USDT,LONG,S3,کرونوس (Cronus),1.44769000,1.38978240,0.00000000,2026-09-04 07:12:57,CLOSED,TRAIL_STOP,2026-09-04 04:17:24,1.45210900,0.200000,0.105245,10.00,0.305245,titan_signal
XRP-USDT,LONG,B1,هایپریون (Hyperion),1.44769000,1.38978240,0.00000000,2026-09-04 07:12:58,CLOSED,TRAIL_STOP,2026-09-04 04:17:25,1.45210900,0.200000,0.105245,10.00,0.305245,titan_signal
