symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source,signal_id,telegram_message_id,initial_sl,trail_activate,trail_lock,sl_pct,leverage,margin_usd,position_usd,max_hold_candles
BTC-USDT,SHORT,S3,کرونوس (Cronus),78948.60000000,82106.54400000,0.00000000,2026-09-08 07:14:32,CLOSED,TRAIL_STOP,2026-09-09 12:14:46,78721.89000000,0.200000,0.087162,10.00,0.287162,"[FAIL] Candle Strength 15m: BS15=0.825 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.177 [>= 0.6];[PASS] EMA Trend 1h: EMA21=79264.80, EMA50=79467.24;[FAIL] EMA Trend 4h: EMA21=79459.76, EMA50=79058.31, EMA200=73058.35;[PASS] RSI 30m: RSI=43.15;[PASS] MACD 30m: MACD_hist=-14.8862;[FAIL] Smart Pullback: price=78948.6000 EMA=79142.1979 RSI=43.1 BS=0.825;[PASS] ADX: ADX=23.48 [>22], DI+=15.71, DI-=33.80;[FAIL] CCI Momentum: CCI=-141.05;[FAIL] SAR: SAR=78744.2120, price=78948.6000;[FAIL] Stochastic: K=27.97 D=27.97;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0020 [>0.005];[PASS] Combined Range Filter: diff=0.0020, ADX=23.48, mode=AND",,,,,,,,,,
BTC-USDT,SHORT,B2,اطلس (Atlas),78948.60000000,82106.54400000,0.00000000,2026-09-08 07:14:33,CLOSED,TRAIL_STOP,2026-09-09 12:14:46,78721.89000000,0.200000,0.087162,10.00,0.287162,"[FAIL] Candle Strength 15m: BS15=0.825 [too high - likely end of move];[FAIL] Candle Strength 5m: BS5=0.177 [>= 0.48];[PASS] EMA Trend 1h: EMA21=79264.80, EMA50=79467.24;[FAIL] EMA Trend 4h: EMA21=79459.76, EMA50=79058.31, EMA200=73058.35;[PASS] RSI 30m: RSI=43.15;[PASS] MACD 30m: MACD_hist=-14.8862;[FAIL] Smart Pullback: price=78948.6000 EMA=79142.1979 RSI=43.1 BS=0.825;[PASS] ADX: ADX=23.48 [>22], DI+=15.71, DI-=33.80;[FAIL] CCI Momentum: CCI=-141.05;[FAIL] SAR: SAR=78744.2120, price=78948.6000;[FAIL] Stochastic: K=27.97 D=27.97;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0020 [>0.005];[FAIL] Combined Range Filter: diff=0.0020, ADX=23.48, mode=OR",,,,,,,,,,
ETH-USDT,SHORT,S3,کرونوس (Cronus),2486.60000000,2586.06400000,0.00000000,2026-09-08 07:14:34,CLOSED,TRAIL_STOP,2026-09-09 12:14:46,2479.77800000,0.200000,0.074351,10.00,0.274351,"[PASS] Candle Strength 15m: BS15=0.768 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.234 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=2492.04, EMA50=2490.47;[FAIL] EMA Trend 4h: EMA21=2483.11, EMA50=2465.98, EMA200=2243.29;[PASS] RSI 30m: RSI=47.19;[PASS] MACD 30m: MACD_hist=-0.4661;[FAIL] Smart Pullback: price=2486.6000 EMA=2490.4183 RSI=47.2 BS=0.768;[FAIL] ADX: ADX=11.85 [>22], DI+=19.53, DI-=27.88;[PASS] CCI Momentum: CCI=-92.14;[FAIL] SAR: SAR=2478.6196, price=2486.6000;[FAIL] Stochastic: K=33.88 D=33.88;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0005 [>0.005];[FAIL] Combined Range Filter: diff=0.0005, ADX=11.85, mode=AND",,,,,,,,,,
SOL-USDT,SHORT,S3,کرونوس (Cronus),103.33000000,107.46320000,0.00000000,2026-09-08 07:14:36,CLOSED,TRAIL_STOP,2026-09-09 12:14:47,103.04200000,0.200000,0.078719,10.00,0.278719,"[PASS] Candle Strength 15m: BS15=0.786 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.312 [>= 0.6];[PASS] EMA Trend 1h: EMA21=104.21, EMA50=104.43;[FAIL] EMA Trend 4h: EMA21=104.03, EMA50=102.97, EMA200=91.55;[PASS] RSI 30m: RSI=42.04;[PASS] MACD 30m: MACD_hist=-0.0334;[FAIL] Smart Pullback: price=103.3300 EMA=103.8601 RSI=42.0 BS=0.786;[FAIL] ADX: ADX=21.87 [>22], DI+=15.54, DI-=33.02;[FAIL] CCI Momentum: CCI=-161.63;[FAIL] SAR: SAR=102.7640, price=103.3300;[FAIL] Stochastic: K=33.14 D=33.14;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0043 [>0.005];[PASS] Combined Range Filter: diff=0.0043, ADX=21.87, mode=AND",,,,,,,,,,
XAUT-USDT,LONG,S1,پرومتئوس (Prometheus),4427.58000000,4250.47680000,0.00000000,2026-09-08 07:14:38,CLOSED,MAX_HOLD,2026-09-09 19:15:46,4401.12000000,0.200000,-0.797618,10.00,-0.597618,"[FAIL] Candle Strength 15m: BS15=0.335 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.000 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=4413.43, EMA50=4413.83;[FAIL] EMA Trend 4h: EMA21=4417.34, EMA50=4430.99, EMA200=4367.67;[PASS] RSI 30m: RSI=61.07;[PASS] MACD 30m: MACD_hist=1.1977;[FAIL] Smart Pullback: price=4427.5800 EMA=4417.5152 RSI=61.1 BS=0.335;[PASS] ADX: ADX=25.24 [>22], DI+=38.86, DI-=18.12;[FAIL] CCI Momentum: CCI=109.73;[PASS] SAR: SAR=4421.0336, price=4427.5800;[FAIL] Stochastic: K=74.67 D=74.67;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0011 [>0.005];[PASS] Combined Range Filter: diff=0.0011, ADX=25.24, mode=AND",,,,,,,,,,
XAUT-USDT,LONG,S3,کرونوس (Cronus),4427.58000000,4250.47680000,0.00000000,2026-09-08 07:14:40,CLOSED,MAX_HOLD,2026-09-09 19:15:46,4401.12000000,0.200000,-0.797618,10.00,-0.597618,"[FAIL] Candle Strength 15m: BS15=0.335 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.000 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=4413.43, EMA50=4413.83;[FAIL] EMA Trend 4h: EMA21=4417.34, EMA50=4430.99, EMA200=4367.67;[PASS] RSI 30m: RSI=61.07;[PASS] MACD 30m: MACD_hist=1.1977;[FAIL] Smart Pullback: price=4427.5800 EMA=4417.5152 RSI=61.1 BS=0.335;[PASS] ADX: ADX=25.24 [>22], DI+=38.86, DI-=18.12;[FAIL] CCI Momentum: CCI=109.73;[PASS] SAR: SAR=4421.0336, price=4427.5800;[FAIL] Stochastic: K=74.67 D=74.67;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0011 [>0.005];[PASS] Combined Range Filter: diff=0.0011, ADX=25.24, mode=AND",,,,,,,,,,
XAUT-USDT,LONG,B1,هایپریون (Hyperion),4427.58000000,4250.47680000,0.00000000,2026-09-08 07:14:41,CLOSED,MAX_HOLD,2026-09-09 19:15:47,4401.12000000,0.200000,-0.797618,10.00,-0.597618,"[FAIL] Candle Strength 15m: BS15=0.335 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.000 [>= 0.6];[FAIL] EMA Trend 1h: EMA21=4413.43, EMA50=4413.83;[FAIL] EMA Trend 4h: EMA21=4417.34, EMA50=4430.99, EMA200=4367.67;[PASS] RSI 30m: RSI=61.07;[PASS] MACD 30m: MACD_hist=1.1977;[FAIL] Smart Pullback: price=4427.5800 EMA=4417.5152 RSI=61.1 BS=0.335;[PASS] ADX: ADX=25.24 [>22], DI+=38.86, DI-=18.12;[FAIL] CCI Momentum: CCI=109.73;[PASS] SAR: SAR=4421.0336, price=4427.5800;[FAIL] Stochastic: K=74.67 D=74.67;[FAIL] EMA Rejection: No rejection;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0011 [>0.005];[FAIL] Combined Range Filter: diff=0.0011, ADX=25.24, mode=OR",,,,,,,,,,
LTC-USDT,LONG,S3,کرونوس (Cronus),55.30000000,53.08800000,0.00000000,2026-09-08 07:14:42,CLOSED,TRAIL_STOP,2026-09-09 12:14:48,55.57000000,0.200000,0.288246,10.00,0.488246,"[FAIL] Candle Strength 15m: BS15=0.450 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.625 [>= 0.6];[PASS] EMA Trend 1h: EMA21=55.44, EMA50=54.90;[PASS] EMA Trend 4h: EMA21=54.04, EMA50=52.40, EMA200=48.90;[FAIL] RSI 30m: RSI=46.62;[FAIL] MACD 30m: MACD_hist=-0.0154;[PASS] Smart Pullback: price=55.3000 EMA=55.4951 RSI=46.6 BS=0.450;[FAIL] ADX: ADX=12.25 [>22], DI+=25.14, DI-=22.36;[FAIL] CCI Momentum: CCI=-22.77;[PASS] SAR: SAR=55.1356, price=55.3000;[FAIL] Stochastic: K=20.34 D=20.34;[PASS] EMA Rejection: Rejected;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0019 [>0.005];[FAIL] Combined Range Filter: diff=0.0019, ADX=12.25, mode=AND",,,,,,,,,,
LTC-USDT,LONG,B1,هایپریون (Hyperion),55.30000000,53.08800000,0.00000000,2026-09-08 07:14:44,CLOSED,TRAIL_STOP,2026-09-09 12:14:49,55.57000000,0.200000,0.288246,10.00,0.488246,"[FAIL] Candle Strength 15m: BS15=0.450 [>= 0.6];[PASS] Candle Strength 5m: BS5=0.625 [>= 0.6];[PASS] EMA Trend 1h: EMA21=55.44, EMA50=54.90;[PASS] EMA Trend 4h: EMA21=54.04, EMA50=52.40, EMA200=48.90;[FAIL] RSI 30m: RSI=46.62;[FAIL] MACD 30m: MACD_hist=-0.0154;[PASS] Smart Pullback: price=55.3000 EMA=55.4951 RSI=46.6 BS=0.450;[FAIL] ADX: ADX=12.25 [>22], DI+=25.14, DI-=22.36;[FAIL] CCI Momentum: CCI=-22.77;[PASS] SAR: SAR=55.1356, price=55.3000;[FAIL] Stochastic: K=20.34 D=20.34;[PASS] EMA Rejection: Rejected;[FAIL] Resistance Test: No test;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0019 [>0.005];[FAIL] Combined Range Filter: diff=0.0019, ADX=12.25, mode=OR",,,,,,,,,,
DOGE-USDT,LONG,S3,کرونوس (Cronus),0.09012000,0.08651520,0.00000000,2026-09-08 07:14:45,CLOSED,TRAIL_STOP,2026-09-09 12:14:49,0.09070500,0.200000,0.449134,10.00,0.649134,"[PASS] Candle Strength 15m: BS15=0.750 [>= 0.6];[FAIL] Candle Strength 5m: BS5=0.176 [>= 0.6];[PASS] EMA Trend 1h: EMA21=0.09, EMA50=0.09;[PASS] EMA Trend 4h: EMA21=0.09, EMA50=0.09, EMA200=0.08;[FAIL] RSI 30m: RSI=47.08;[FAIL] MACD 30m: MACD_hist=-0.0001;[PASS] Smart Pullback: price=0.0901 EMA=0.0904 RSI=47.1 BS=0.750;[FAIL] ADX: ADX=13.67 [>22], DI+=20.37, DI-=24.43;[FAIL] CCI Momentum: CCI=-75.79;[PASS] SAR: SAR=0.0896, price=0.0901;[FAIL] Stochastic: K=25.71 D=25.71;[PASS] EMA Rejection: Rejected;[PASS] Resistance Test: Tested;[PASS] Pullback: Detected;[PASS] Double Top/Bottom: Pattern=double_top;[FAIL] Range Filter: EMA diff=0.0020 [>0.005];[FAIL] Combined Range Filter: diff=0.0020, ADX=13.67, mode=AND",,,,,,,,,,
